;id;word;count
1020;1020;propaganda;116
1021;1021;enooooooorme,;1
1022;1022;placa;4
1023;1023;enorme;31
1024;1024;“24;1
1025;1025;horas”),;1
1026;1026;bem,;54
1027;1027;chegamos;3
1028;1028;gritando;1
1029;1029;dor;85
1030;1030;Comprar;23
1031;1031;online;214
1032;1032;pela;752
1033;1033;droga,;1
1034;1034;única;57
1035;1035;vez;642
1036;1036;certo.;38
1037;1037;R$400,;1
1038;1038;cobrou;12
1039;1039;cartão,;40
1040;1040;daí;23
1041;1041;cancelou;27
1042;1042;simplesmente;213
1043;1043;avisou,;1
1044;1044;sequer.;4
1045;1045;aqui;1735
1046;1046;tonta;1
1047;1047;caso;131
1048;1048;precisasse;3
1049;1049;davam?;1
1050;1050;🥺💕;1
1051;1051;nós;55
1052;1052;amamos;9
1053;1053;😍💙💛;6
1054;1054;@Jucardosolima;4
1055;1055;Horrivel;3
1056;1056;viu;77
1057;1057;@samiraleite;3
1058;1058;mesmo,;69
1059;1059;barato;56
1060;1060;pessoalmente,;6
1061;1061;taxa;276
1062;1062;carniça;3
1063;1063;piora….;1
1064;1064;Pq;67
1065;1065;vc;335
1066;1066;pagar;247
1067;1067;for;135
1068;1068;la;103
1069;1069;direto;66
1070;1070;sai;47
1071;1071;caro;162
1072;1072;ainda!!!;1
1073;1073;Algo;6
1074;1074;https://t.co/tEUwRhiZRL;1
1075;1075;@analaise;1
1076;1076;escolher;30
1077;1077;receber;341
1078;1078;12;61
1079;1079;conto,;3
1080;1080;cu;27
1081;1081;Oxe?????);1
1082;1082;fosse;122
1083;1083;sentido;33
1084;1084;vcs?;19
1085;1085;Sendo;25
1086;1086;buscar;124
1087;1087;negócio,;1
1088;1088;gastar;93
1089;1089;gasolina;6
1090;1090;JOIA;1
1091;1091;https://t.co/waZ3qKHmwg;1
1092;1092;Nosso;8
1093;1093;banho;194
1094;1094;fora;127
1095;1095;casa.;122
1096;1096;show;16
1097;1097;profissionalismo.;1
1098;1098;https://t.co/mTkPhjKIY9;1
1099;1099;processo;61
1100;1100;horrível,;18
1101;1101;tô;367
1102;1102;alguns;70
1103;1103;produtos;871
1104;1104;aprovado;27
1105;1105;inconsistência;2
1106;1106;estando;11
1107;1107;sob;8
1108;1108;titularidade,;1
1109;1109;entrei;87
1110;1110;burocracia;3
1111;1111;cabeça;77
1112;1112;Cancelei;35
1113;1113;40;36
1114;1114;👏👏👏;23
1115;1115;🥺;54
1116;1116;jeito.;5
1117;1117;pisa;5
1118;1118;rápida.;18
1119;1119;nada,;114
1120;1120;mudou.;4
1121;1121;Espero;81
1122;1122;reembolsada;1
1123;1123;valor;351
1124;1124;rápida;84
1125;1125;Tudo;191
1126;1126;Mandei;59
1127;1127;dm;72
1128;1128;remédio;173
1129;1129;Flor;2
1130;1130;tentativa;34
1131;1131;entrega,;133
1132;1132;entregadora;3
1133;1133;tocou;10
1134;1134;campainha;5
1135;1135;entrou;27
1136;1136;contato.;21
1137;1137;Depois;135
1138;1138;levou;15
1139;1139;1h;51
1140;1140;entregador,;6
1141;1141;disseram;108
1142;1142;entregue,;92
1143;1143;rapaz;7
1144;1144;conseguiu;29
1145;1145;retirar.;12
1146;1146;Ow;10
1147;1147;dois;212
1148;1148;recebo;67
1149;1149;alerta;11
1150;1150;encomenda;102
1151;1151;próxima;75
1152;1152;chega...;4
1153;1153;gato;297
1154;1154;fim,;9
1155;1155;ajuda!;11
1156;1156;tanto;147
1157;1157;choro;4
1158;1158;ranger;2
1159;1159;dentes;5
1160;1160;essas;74
1161;1161;mensagens;16
1162;1162;loucas,;1
1163;1163;lalamove.;1
1164;1164;Mas;424
1165;1165;continuo;19
1166;1166;querendo;55
1167;1167;entender;60
1168;1168;cancelada;33
1169;1169;sonho;29
1170;1170;zara;1
1171;1171;chamava;6
1172;1172;modelo;20
1173;1173;marcas;167
1174;1174;pet;1534
1175;1175;petisco,;6
1176;1176;shampoo;17
1177;1177;sou;236
1178;1178;suspeita;5
1179;1179;falar,;4
1180;1180;massss;1
1181;1181;LINDA;2
1182;1182;sorri;1
1183;1183;fotos,;4
1184;1184;alô;55
1185;1185;incrível,;4
1186;1186;"&lt;3";79
1187;1187;perfeita,;5
1188;1188;amo,;4
1189;1189;0;33
1190;1190;defeitos;1
1191;1191;deixar;181
1192;1192;morrerem;3
1193;1193;fome;137
1194;1194;pior;184
1195;1195;vida;115
1196;1196;msm;47
1197;1197;frete;377
1198;1198;3;412
1199;1199;Mais;153
1200;1200;drama;4
1201;1201;online,;52
1202;1202;Outro;7
1203;1203;capítulo;3
1204;1204;alimentação;16
1205;1205;entregue.;67
1206;1206;vítima;7
1207;1207;18;28
1208;1208;gatos:;1
1209;1209;sábado;70
1210;1210;passado;70
1211;1211;(18/03);1
1212;1212;tive;396
1213;1213;problema.;80
1214;1214;terça;20
1215;1215;(21/03).;1
